"categorieSetId","categorieId","title","categorieSetNumber"
"1","NIL","VOID","VOID"
"2","5","Elektrotechnik","5"
"3","5","Grundbegriffe","5.1"
"4","5","Atom, Ladung","5.1.1"
"5","5","Spannung, Potenzial, Erzeugung","5.1.2"
"6","5","Strom, -Arten, -Gefahren, -Wirkung","5.1.3"
"7","5","Widerstand, Stromdichte","5.1.4"
"8","5","Ohmsches Gesetz","5.1.5"
"9","5","Temperaturabhängigkeit","5.1.6"
"10","5","Arbeit, Leistung, Wirkungsgrad","5.2"
"11","5","Elektrische Arbeit und Energie","5.2.1"
"12","5","Elektrische Leistung","5.2.2"
"13","5","El.Arbeit Leistung und Wirkungsgrad","5.2.3"
"14","5","Grundschaltungen","5.3"
"15","5","Reihenschaltung","5.3.1"
"16","5","Parallelschaltung","5.3.2"
"17","5","Spannungsteiler, Brückenschaltung","5.3.3"
"18","5","Gemischte Schaltungen","5.3.4"
"19","5","Leitungsberechnungen","5.4"
"20","5","Gleichstrom und 1 ~ Leitungen","5.4.1"
"21","5","Drehstromleitungen","5.4.2"
"22","5","Elektrochemie","5.5"
"23","5","Primär - und Sekundärelemente","5.5.1"
"24","5","Innenwid. von Spannungsquellen","5.5.2"
"25","5","Schaltungen von Spannungsquellen","5.5.3"
"26","NIL","VOID","VOID"
"27","5","Elektr. Feld und Kondensator","5.6"
"28","5","Grundbegriffe","5.6.1"
"29","5","Laden und Entladen","5.6.2"
"30","5","Kondensatorschaltungen","5.6.3"
"31","5","Magnetisches Feld","5.7"
"32","5","Grundbegriffe","5.7.1"
"33","5","Elektromagnetismus","5.7.2"
"34","5","Magnetische Grössen","5.7.3"
"35","5","Strom im Magnetfeld","5.7.4"
"36","5","Induktion Selbstinduktion Wirbelstrom","5.7.5"
"37","5","Wechselstrom","5.8"
"38","5","Grundbegriffe","5.8.1"
"39","5","Ohmsche Verbraucher","5.8.2"
"40","5","Induktive Verbraucher","5.8.3"
"41","5","Kapazitive Verbraucher","5.8.4"
"42","NIL","VOID","VOID"
"43","5","Kompensation","5.8.5"
"44","5","Drehstrom","5.9"
"45","5","Grundlagen","5.9.1"
"46","5","Sternschaltung  symmetrisch","5.9.2"
"47","5","Sternschaltung  asymmetrisch","5.9.3"
"48","5","Dreieckschaltung  symmetrisch","5.9.4"
"49","5","Dreieckschaltung  asymmetrisch","5.9.5"
"50","NIL","VOID","VOID"
"51","NIL","VOID","VOID"
"52","5","Messtechnik","5.10"
"53","5","Grundlagen","5.10.1"
"54","5","Schaltungen und Berechnungen","5.10.2"
"55","5","Elektronik","5.11"
"56","5","Grundlagen","5.11.1"
"57","5","Dioden und Gleichrichter","5.11.2"
"58","5","Transistoren, Thyristor, Diac, Triac","5.11.3"
"59","5","Elektronische Schaltungen","5.11.4"
"60","5","Sensoren und Aktoren","5.11.5"
"61","5","Apparate und Maschinen","5.12"
"62","5","Kühlgeräte","5.12.1"
"63","5","Kochgeräte","5.12.2"
"64","5","Heizgeräte","5.12.3"
"65","5","Warmwasserbereiter","5.12.4"
"66","5","1-phasige Motoren DC / AC","5.12.5"
"67","5","Drehstrommotoren","5.12.6"
