"categorySetId","questionType","questionPhrase","Answer1","Answer2","Answer3","Answer4","Answer5","CorrectAnswerAsLetter","textIfCorrect","textIfIncorrect","questionImageId","solutionImageId","autor","pointsToAchieve"
"5.1.1","Multiple Choice","<SPAN STYLE="""" >Wie heissen die kleinsten positiv geladenen Teilchen der Elemente?</SPAN>","<SPAN STYLE="""" >Atome</SPAN>","<SPAN STYLE="""" >Protonen</SPAN>","<SPAN STYLE="""" >Elektronen</SPAN>","<SPAN STYLE="""" >Neutronen</SPAN>","<SPAN STYLE="""" >Molek&uuml;le</SPAN>","b","<SPAN STYLE="""" >Protonen sind Kernteilchen</SPAN>","VOID","","","<SPAN STYLE="""" >FK</SPAN>","1"
"5.1.1","Multiple Choice","<SPAN STYLE="""" >Welche Teilchen sind die kleinsten Tr&auml;ger der negativen Ladungseinheit?</SPAN>","<SPAN STYLE="""" >Protonen</SPAN>","<SPAN STYLE="""" >Neutronen</SPAN>","<SPAN STYLE="""" >Molek&uuml;le</SPAN>","<SPAN STYLE="""" >Elektronen</SPAN>","<SPAN STYLE="""" >Atome</SPAN>","d","<SPAN STYLE="""" >Elektronen befinden sich in der Atomh&uuml;lle und kreisen um den Kern</SPAN>","VOID","","","<SPAN STYLE="""" >FK</SPAN>","1"
"5.1.1","Multiple Choice","<SPAN STYLE="""" >Ein neutrales Atom enth&auml;lt 13 Protonen.<BR>Wie viele Elektronen hat es in diesem Atom?</SPAN>","<SPAN STYLE="""" >13</SPAN>","<SPAN STYLE="""" >-13</SPAN>","<SPAN STYLE="""" >26</SPAN>","<SPAN STYLE="""" >14</SPAN>","<SPAN STYLE="""" >12</SPAN>","a","<SPAN STYLE="""" >In einem neutralen Atom hat es gleich viele positive wie negative Ladungen.</SPAN>","<SPAN STYLE="""" >In einem neutralen Atom hat es gleich viele positive wie negative Ladungen.</SPAN>","","","<SPAN STYLE="""" >FK</SPAN>","1"
"5.1.1","Multiple Choice","<SPAN STYLE="""" >Ein Atom hat 46 positive Kernteilchen, und 47 Elektronen.<BR>Wie nennt man dieses Atom?</SPAN>","<SPAN STYLE="""" >positiv geladenes  Jon</SPAN>","<SPAN STYLE="""" >neutrales Atom</SPAN>","<SPAN STYLE="""" >neutrales Jon</SPAN>","<SPAN STYLE="""" >negatives Molek&uuml;l</SPAN>","<SPAN STYLE="""" >negativ geladenes Jon</SPAN>","e","VOID","<SPAN STYLE="""" >In einem neutralen Atom hat es gleich viele positive wie negative Ladungen.<BR>In diesem Atom hat es jedoch in der Atomh&uuml;lle eine (negative) Ladung mehr als im (positiv geladenen) Kern. Das Atom ist deshalb nicht mehr elektrisch neutral. Ein el. geladenes Atom nennt man Jon.</SPAN>","","","<SPAN STYLE="""" >FK</SPAN>","1"
"5.1.1","Multiple Choice","<SPAN STYLE="""" >Die Bezeichnung &bdquo;Positiver Pol&ldquo; bedeutet:</SPAN>","<SPAN STYLE="""" >Elektronenmangel</SPAN>","<SPAN STYLE="""" >&Uuml;berschuss von positiv geladenen Elektronen</SPAN>","<SPAN STYLE="""" >Elektronen&uuml;berschuss</SPAN>","<SPAN STYLE="""" >Mangel an positiv geladenen Kernteilchen</SPAN>","VOID","a","<SPAN STYLE="""" >Elektronen haben eine negative Ladung. <BR>Bei Elektronenmangel spricht man von &bdquo;Positiver Pol&ldquo;</SPAN>","<SPAN STYLE="""" >Elektronen haben eine negative Ladung. <BR>Bei Elektronen&uuml;berschuss spricht man von &bdquo;Negativer Pol&ldquo;</SPAN>","","","<SPAN STYLE="""" >FK</SPAN>","1"
"5.1.1","Multiple Choice","<SPAN STYLE="""" >Welche Aussage ist richtig?</SPAN>","<SPAN STYLE="""" >Bei A hat es Elektronen&uuml;berschuss</SPAN>","<SPAN STYLE="""" >Bei B hat es Elektronen&uuml;berschuss</SPAN>","<SPAN STYLE="""" >Bei A und B hat es Elektronen&uuml;berschuss</SPAN>","<SPAN STYLE="""" >Bei A und B hat es Elektronenmangel</SPAN>","VOID","a","<SPAN STYLE="""" >Negativer Pol bedeutet : Elektronen&uuml;berschuss</SPAN>","<SPAN STYLE="""" >Negativer Pol bedeutet : Elektronen&uuml;berschuss</SPAN>","71","","<SPAN STYLE="""" >FK</SPAN>","1"
"5.1.1","Multiple Choice","<SPAN STYLE="""" >Wie nennt man die Elektronen, welche f&uuml;r den Stromtransport in Frage kommen?</SPAN>","<SPAN STYLE="""" >Positive freie Elektronen.</SPAN>","<SPAN STYLE="""" >Neutrale freie Elektronen.</SPAN>","<SPAN STYLE="""" >Valenzelektronen.</SPAN>","<SPAN STYLE="""" >Gebundene negative Elektronen.</SPAN>","VOID","c","<SPAN STYLE="""" >Es k&ouml;nnen nur diejenigen Elektronen bewegt werden, welche nicht an den Kern gebunden sind. Elektronen haben eine negative Ladung.</SPAN>","<SPAN STYLE="""" >Es k&ouml;nnen nur diejenigen Elektronen bewegt werden, welche nicht an den Kern gebunden sind. Elektronen haben eine negative Ladung.</SPAN>","","","<SPAN STYLE="""" >FK</SPAN>","1"
"5.1.1","Multiple Choice","<SPAN STYLE="""" >Wie nennt man ein geladenes Atom?</SPAN>","<SPAN STYLE="""" >Ion</SPAN>","<SPAN STYLE="""" >Molek&uuml;l</SPAN>","<SPAN STYLE="""" >Verbindung</SPAN>","<SPAN STYLE="""" >Isotop</SPAN>","VOID","a","VOID","<SPAN STYLE="""" >Bei einem geladenen Atom hat es nicht gleich viele positive wie negative Ladungen.</SPAN>","","","<SPAN STYLE="""" >FK</SPAN>","1"
"5.1.1","Multiple Choice","<SPAN STYLE="""" >In welcher Einheit wird die elektrische Ladung angegeben?</SPAN>","<SPAN STYLE="""" >Ampere (A)</SPAN>","<SPAN STYLE="""" >Volt (V)</SPAN>","<SPAN STYLE="""" >Volt / Sec (V / s)</SPAN>","<SPAN STYLE="""" >Ampere * Sec = (As) oder (C) = Coulomb</SPAN>","VOID","d","<SPAN STYLE="""" >Eine Batterie oder ein Akku hat eine bestimmte Ladung. Diese Ladungsmenge gibt man in As, Ah oder mAh an.</SPAN>","<SPAN STYLE="""" >Eine Batterie oder ein Akku hat eine bestimmte Ladung. Diese Ladungsmenge gibt man in As, Ah oder mAh an.</SPAN>","","","<SPAN STYLE="""" >FK</SPAN>","1"
"5.1.1","Multiple Choice","<SPAN STYLE="""" >Trennt man positive und negative Ladungen voneinander, entsteht ein Ausgleichsbestreben der Ladungen. <BR>Mit welchem Messger&auml;t kann man die Gr&ouml;sse dieses Ausgleichbestrebens messen?</SPAN>","<SPAN STYLE="""" >Coulombmeter</SPAN>","<SPAN STYLE="""" >Amperemeter</SPAN>","<SPAN STYLE="""" >Wattmeter</SPAN>","<SPAN STYLE="""" >Voltmeter</SPAN>","VOID","d","<SPAN STYLE="""" >Der &bdquo;elektrische Druck&ldquo; wird in Volt angegeben.</SPAN>","<SPAN STYLE="""" >Der &bdquo;elektrische Druck&ldquo; wird in Volt angegeben.</SPAN>","","","<SPAN STYLE="""" >FK</SPAN>","1"
"5.1.1","Multiple Choice","<SPAN STYLE="""" >Was  muss  ver&auml;ndert  werden,  damit  man  ein  neutrales  Atom erh&auml;lt?</SPAN>","<SPAN STYLE="""" >3 Elektronen wegnehmen</SPAN>","<SPAN STYLE="""" >2 Protonen dazugeben</SPAN>","<SPAN STYLE="""" >2 Elektronen dazugeben</SPAN>","<SPAN STYLE="""" >3 Elektronen dazugeben</SPAN>","VOID","d","<SPAN STYLE="""" >Es m&uuml;ssen genau gleich viele negative wie positive Ladungen vorhanden sein.</SPAN>","<SPAN STYLE="""" >Es m&uuml;ssen genau gleich viele negative wie positive Ladungen vorhanden sein.</SPAN>","72","73","<SPAN STYLE="""" >FK</SPAN>","1"
