"chapterId","questionType","QuestionPhrase","Answer1","Answer2","Answer3","Answer4","Answer5","CorrectAnswerAsLetter","textIfCorrect","textIfIncorrect","questionImageId","solutionImageId"
"15","Multiple Choice","<SPAN STYLE="""" >Wie gross ist U1?</SPAN>","<SPAN STYLE="""" >30 V</SPAN>","<SPAN STYLE="""" >60 V</SPAN>","<SPAN STYLE="""" >45 V</SPAN>","<SPAN STYLE="""" >3 V</SPAN>","VOID","a","VOID","<SPAN STYLE="""" >U1 = 45 V - 15 V = 30 V</SPAN>","0",""
"15","Multiple Choice","<SPAN STYLE="""" >Welche Gleichung ist richtig?</SPAN>","<SPAN STYLE="""" >U1 * U2 = R1 * R2</SPAN>","<SPAN STYLE="""" >U1 + U2 = R1 + R2</SPAN>","<SPAN STYLE="""" >U1 / R1 = U2 / R2</SPAN>","<SPAN STYLE="""" >U1 / R2 = U2 / R1</SPAN>","VOID","c","VOID","<SPAN STYLE="""" >I ist in beiden Widerst&auml;nden gleich gross. I =     U1 / R1    =    U2 / R2</SPAN>","1",""
"15","Multiple Choice","<SPAN STYLE="""" >Wie gross ist R1?</SPAN>","<SPAN STYLE="""" >10 &Omega;</SPAN>","<SPAN STYLE="""" >20 &Omega;</SPAN>","<SPAN STYLE="""" >30 &Omega;</SPAN>","<SPAN STYLE="""" >40 &Omega;</SPAN>","VOID","c","VOID","<SPAN STYLE="""" >R2 = U2 / I2 = 20V / 1A = 20 &Omega; <BR>R1 = Rtot - R2 = 50 &Omega; - 20 &Omega; = 30 &Omega;.</SPAN>","3",""
"15","Multiple Choice","<SPAN STYLE="""" >Welche L&ouml;sung zur Berechnung des Vorwiderstandes ist richtig?</SPAN>","<SPAN STYLE="""" >Rv = (12V + 9V) / 0,3 A</SPAN>","<SPAN STYLE="""" >Rv = 12V - 9V  / 0,3 A</SPAN>","<SPAN STYLE="""" >Rv = 9V / 0,3 A</SPAN>","<SPAN STYLE="""" >Rv = (12V - 9V) / 0,3 A</SPAN>","<SPAN STYLE="""" >Rv = 12V / 0,3 A</SPAN>","d","VOID","<SPAN STYLE="""" >Die L&ouml;sung b ist falsch, weil die Rechenregel &bdquo;Punkt vor Strich&ldquo; gilt. Die Rechnung 12V - ( 9V / 0,3A)  ist falsch und ergibt 12V - 30V = -18V.</SPAN>","4",""
"15","Multiple Choice","<SPAN STYLE="""" >In welchem Fall ist U2 nur 1 / 3 so gross wie U?</SPAN>","<SPAN STYLE="""" >Wenn R1 = 10 &Omega;  und R2 = 20 &Omega;</SPAN>","<SPAN STYLE="""" >Wenn R1 = 20 &Omega;  und R2 = 10 &Omega;</SPAN>","<SPAN STYLE="""" >Wenn R1 = 30 &Omega;  und R2 = 10 &Omega;</SPAN>","<SPAN STYLE="""" >Wenn R1 = 10 &Omega;  und R2 = 30 &Omega;</SPAN>","VOID","b","VOID","<SPAN STYLE="""" >U2 ist dreimal kleiner als Utot.  Demnach ist R2 dreimal kleiner als Rtot</SPAN>","5",""
"15","Multiple Choice","<SPAN STYLE="""" >U2 soll genau die H&auml;lfte von U sein.<BR>Wie gross muss dann R2 sein?</SPAN>","<SPAN STYLE="""" >0,5 &Omega;</SPAN>","<SPAN STYLE="""" >25 &Omega;</SPAN>","<SPAN STYLE="""" >50 &Omega;</SPAN>","<SPAN STYLE="""" >100 &Omega;</SPAN>","VOID","c","VOID","VOID","6",""
"15","Multiple Choice","<SPAN STYLE="""" >Welche Gr&ouml;sse ist bei einer Serienschaltung bei jedem Widerstand gleich gross?</SPAN>","<SPAN STYLE="""" >Der Widerstandswert</SPAN>","<SPAN STYLE="""" >Der Leitwert</SPAN>","<SPAN STYLE="""" >Die Spannung</SPAN>","<SPAN STYLE="""" >Der Strom</SPAN>","VOID","d","VOID","VOID","",""
"15","Multiple Choice","<SPAN STYLE="""" >Wie gross ist die Spannung &uuml;ber dem Vorwiderstand, wenn die Lampe mit ihren Nenndaten betrieben wird?</SPAN>","<SPAN STYLE="""" >Uv = 12 V + 9 V</SPAN>","<SPAN STYLE="""" >Uv = 9 V</SPAN>","<SPAN STYLE="""" >Uv = 12 V - 9 V</SPAN>","<SPAN STYLE="""" >Uv = 12 V - (9 V / 0,3 A)</SPAN>","VOID","c","VOID","<SPAN STYLE="""" >Uv muss 12V - 9V = 3V sein.</SPAN>","7",""
"15","Multiple Choice","<SPAN STYLE="""" >Wie gross muss der Vorwiderstand R1 sein, damit die Lampe mit ihren Nenndaten betrieben wird?</SPAN>","<SPAN STYLE="""" >R1 =  (18V + 3V  - 9V) / 0,3 A</SPAN>","<SPAN STYLE="""" >R1 =  (18V - 9V) / 0,3 A</SPAN>","<SPAN STYLE="""" >R1 = (18V + 3V  + 9V) / 0,3 A</SPAN>","<SPAN STYLE="""" >R1 =  ( 18V - 3V  - 9V ) / 0,3 A</SPAN>","VOID","d","VOID","<SPAN STYLE="""" >U &uuml;ber R1 = 18V -3V-9V = 15V<BR>R1 = U1 / I1 = 15V / 0,3A = 50 &Omega;</SPAN>","8",""
"15","Multiple Choice","<SPAN STYLE="""" >Welche Gleichung ist zur Berechnung  der Stromst&auml;rke richtig?</SPAN>","<SPAN STYLE="""" >I = 12 V / 5 &Omega;</SPAN>","<SPAN STYLE="""" >I = 12 V / 2 &Omega; + 12 V / 3 &Omega; + 12 V / 5 &Omega;</SPAN>","<SPAN STYLE="""" >I = 12 V / ( 2 &Omega; + 3 &Omega; + 5 &Omega; )</SPAN>","<SPAN STYLE="""" >I = 12 V / (2 &Omega; + 3 &Omega;)</SPAN>","VOID","c","VOID","<SPAN STYLE="""" >I = Utot / Rtot</SPAN>","11",""
"15","Multiple Choice","<SPAN STYLE="""" >Wie gross ist die Stromst&auml;rke durch die Lampe?</SPAN>","<SPAN STYLE="""" >IL= 1,2 V / 6 &Omega;</SPAN>","<SPAN STYLE="""" >IL =0,1 A + (1,2 V / 6 &Omega; )</SPAN>","<SPAN STYLE="""" >IL = 6 &Omega; / 1,2 V</SPAN>","<SPAN STYLE="""" >IL = 0,1 A</SPAN>","VOID","d","VOID","<SPAN STYLE="""" >Bei einer Serieschaltung ist die Stromst&auml;rke &uuml;berall gleich gross.</SPAN>","12",""
"15","Multiple Choice","<SPAN STYLE="""" >Die Spannung der Quelle ist konstant.<BR>Nach welcher Richtung muss das Potenziometer verschoben werden, damit die Lampe weniger hell leuchtet?</SPAN>","<SPAN STYLE="""" >In Richtung B</SPAN>","<SPAN STYLE="""" >Die Leuchtst&auml;rke kann nicht ver&auml;ndert werden, weil in einer Serienschaltung die Stromst&auml;rke &uuml;berall gleich gross ist.</SPAN>","<SPAN STYLE="""" >Die Leuchtst&auml;rke kann nicht ver&auml;ndert werden, weil die Spannungsquelle immer die gleich grosse Spannung abgibt</SPAN>","<SPAN STYLE="""" >In Richtung A</SPAN>","VOID","d","VOID","<SPAN STYLE="""" >Damit die Lampe weniger hell leuchten soll, muss der Gesamtwiderstand gr&ouml;sser gemacht werden. Wird das Potentiometer in Richtung A verschoben, wird die Widerstandsbahn und damit auch der Widerstandswert gr&ouml;sser.</SPAN>","13","14"
