"categorySetId","questionPhrase","questionType","questionImageId","solutionImageId","autor","pointsToAchieve","profession","level","Answer1","Answer2","Answer3","ZO1","ZO2","ZO3","ZO4","ZO5","solution1","solution2","solution3"
"5.1.1","<SPAN STYLE="""" >Auf der inneren Elektronenschale</SPAN>","ZO","69","70","<SPAN STYLE="""" >FK</SPAN>","1","Elektroinstallateur","NIL","<SPAN STYLE="""" >Auf der inneren Elektronenschale</SPAN>","<SPAN STYLE="""" >Auf der &auml;usseren Elektronenschale</SPAN>","VOID","<SPAN STYLE="""" >0</SPAN>","<SPAN STYLE="""" >1</SPAN>","<SPAN STYLE="""" >2</SPAN>","<SPAN STYLE="""" >3</SPAN>","<SPAN STYLE="""" >4</SPAN>","c","c","VOID"
"5.1.1","<SPAN STYLE="""" >Auf der inneren Elektronenschale</SPAN>","ZO","69","70","<SPAN STYLE="""" >FK</SPAN>","1","Elektroplaner","NIL","<SPAN STYLE="""" >Auf der inneren Elektronenschale</SPAN>","<SPAN STYLE="""" >Auf der &auml;usseren Elektronenschale</SPAN>","VOID","<SPAN STYLE="""" >0</SPAN>","<SPAN STYLE="""" >1</SPAN>","<SPAN STYLE="""" >2</SPAN>","<SPAN STYLE="""" >3</SPAN>","<SPAN STYLE="""" >4</SPAN>","c","c","VOID"
"5.1.1","<SPAN STYLE="""" >Auf der inneren Elektronenschale</SPAN>","ZO","69","70","<SPAN STYLE="""" >FK</SPAN>","1","Montage-Elektriker","NIL","<SPAN STYLE="""" >Auf der inneren Elektronenschale</SPAN>","<SPAN STYLE="""" >Auf der &auml;usseren Elektronenschale</SPAN>","VOID","<SPAN STYLE="""" >0</SPAN>","<SPAN STYLE="""" >1</SPAN>","<SPAN STYLE="""" >2</SPAN>","<SPAN STYLE="""" >3</SPAN>","<SPAN STYLE="""" >4</SPAN>","c","c","VOID"
"5.1.1","<SPAN STYLE="""" >Auf der inneren Elektronenschale</SPAN>","ZO","69","70","<SPAN STYLE="""" >FK</SPAN>","1","Netzelektriker","NIL","<SPAN STYLE="""" >Auf der inneren Elektronenschale</SPAN>","<SPAN STYLE="""" >Auf der &auml;usseren Elektronenschale</SPAN>","VOID","<SPAN STYLE="""" >0</SPAN>","<SPAN STYLE="""" >1</SPAN>","<SPAN STYLE="""" >2</SPAN>","<SPAN STYLE="""" >3</SPAN>","<SPAN STYLE="""" >4</SPAN>","c","c","VOID"
"5.1.1","<SPAN STYLE="""" >Auf der inneren Elektronenschale</SPAN>","ZO","69","70","<SPAN STYLE="""" >FK</SPAN>","1","null","NIL","<SPAN STYLE="""" >Auf der inneren Elektronenschale</SPAN>","<SPAN STYLE="""" >Auf der &auml;usseren Elektronenschale</SPAN>","VOID","<SPAN STYLE="""" >0</SPAN>","<SPAN STYLE="""" >1</SPAN>","<SPAN STYLE="""" >2</SPAN>","<SPAN STYLE="""" >3</SPAN>","<SPAN STYLE="""" >4</SPAN>","c","c","VOID"
"5.1.1","<SPAN STYLE="""" >Auf der inneren Elektronenschale</SPAN>","ZO","69","70","<SPAN STYLE="""" >FK</SPAN>","1","null","unbestimmt","<SPAN STYLE="""" >Auf der inneren Elektronenschale</SPAN>","<SPAN STYLE="""" >Auf der &auml;usseren Elektronenschale</SPAN>","VOID","<SPAN STYLE="""" >0</SPAN>","<SPAN STYLE="""" >1</SPAN>","<SPAN STYLE="""" >2</SPAN>","<SPAN STYLE="""" >3</SPAN>","<SPAN STYLE="""" >4</SPAN>","c","c","VOID"
"5.1.1","<SPAN STYLE="""" >Auf der inneren Elektronenschale</SPAN>","ZO","69","70","<SPAN STYLE="""" >FK</SPAN>","1","null","NIL","<SPAN STYLE="""" >Auf der inneren Elektronenschale</SPAN>","<SPAN STYLE="""" >Auf der &auml;usseren Elektronenschale</SPAN>","VOID","<SPAN STYLE="""" >0</SPAN>","<SPAN STYLE="""" >1</SPAN>","<SPAN STYLE="""" >2</SPAN>","<SPAN STYLE="""" >3</SPAN>","<SPAN STYLE="""" >4</SPAN>","c","c","VOID"
"5.1.1","<SPAN STYLE="""" >Auf der inneren Elektronenschale</SPAN>","ZO","69","70","<SPAN STYLE="""" >FK</SPAN>","1","Hilfe&Demo","1","<SPAN STYLE="""" >Auf der inneren Elektronenschale</SPAN>","<SPAN STYLE="""" >Auf der &auml;usseren Elektronenschale</SPAN>","VOID","<SPAN STYLE="""" >0</SPAN>","<SPAN STYLE="""" >1</SPAN>","<SPAN STYLE="""" >2</SPAN>","<SPAN STYLE="""" >3</SPAN>","<SPAN STYLE="""" >4</SPAN>","c","c","VOID"
"5.1.1","<SPAN STYLE="""" >positive Ladung</SPAN>","ZO","1634","","<SPAN STYLE="""" >HB</SPAN>","1","Elektroinstallateur","NIL","<SPAN STYLE="""" >positive Ladung</SPAN>","<SPAN STYLE="""" >negative Ladung</SPAN>","<SPAN STYLE="""" >neutral</SPAN>","<SPAN STYLE="""" >Ionen</SPAN>","<SPAN STYLE="""" >Neutronen</SPAN>","<SPAN STYLE="""" >Protonen</SPAN>","<SPAN STYLE="""" >Molek&uuml;le</SPAN>","<SPAN STYLE="""" >Elektronen</SPAN>","ac","ae","bd"
"5.1.1","<SPAN STYLE="""" >positive Ladung</SPAN>","ZO","1634","","<SPAN STYLE="""" >HB</SPAN>","1","Elektroplaner","NIL","<SPAN STYLE="""" >positive Ladung</SPAN>","<SPAN STYLE="""" >negative Ladung</SPAN>","<SPAN STYLE="""" >neutral</SPAN>","<SPAN STYLE="""" >Ionen</SPAN>","<SPAN STYLE="""" >Neutronen</SPAN>","<SPAN STYLE="""" >Protonen</SPAN>","<SPAN STYLE="""" >Molek&uuml;le</SPAN>","<SPAN STYLE="""" >Elektronen</SPAN>","ac","ae","bd"
"5.1.1","<SPAN STYLE="""" >positive Ladung</SPAN>","ZO","1634","","<SPAN STYLE="""" >HB</SPAN>","1","Montage-Elektriker","NIL","<SPAN STYLE="""" >positive Ladung</SPAN>","<SPAN STYLE="""" >negative Ladung</SPAN>","<SPAN STYLE="""" >neutral</SPAN>","<SPAN STYLE="""" >Ionen</SPAN>","<SPAN STYLE="""" >Neutronen</SPAN>","<SPAN STYLE="""" >Protonen</SPAN>","<SPAN STYLE="""" >Molek&uuml;le</SPAN>","<SPAN STYLE="""" >Elektronen</SPAN>","ac","ae","bd"
"5.1.1","<SPAN STYLE="""" >positive Ladung</SPAN>","ZO","1634","","<SPAN STYLE="""" >HB</SPAN>","1","Netzelektriker","NIL","<SPAN STYLE="""" >positive Ladung</SPAN>","<SPAN STYLE="""" >negative Ladung</SPAN>","<SPAN STYLE="""" >neutral</SPAN>","<SPAN STYLE="""" >Ionen</SPAN>","<SPAN STYLE="""" >Neutronen</SPAN>","<SPAN STYLE="""" >Protonen</SPAN>","<SPAN STYLE="""" >Molek&uuml;le</SPAN>","<SPAN STYLE="""" >Elektronen</SPAN>","ac","ae","bd"
"5.1.1","<SPAN STYLE="""" >positive Ladung</SPAN>","ZO","1634","","<SPAN STYLE="""" >HB</SPAN>","1","null","NIL","<SPAN STYLE="""" >positive Ladung</SPAN>","<SPAN STYLE="""" >negative Ladung</SPAN>","<SPAN STYLE="""" >neutral</SPAN>","<SPAN STYLE="""" >Ionen</SPAN>","<SPAN STYLE="""" >Neutronen</SPAN>","<SPAN STYLE="""" >Protonen</SPAN>","<SPAN STYLE="""" >Molek&uuml;le</SPAN>","<SPAN STYLE="""" >Elektronen</SPAN>","ac","ae","bd"
"5.1.1","<SPAN STYLE="""" >positive Ladung</SPAN>","ZO","1634","","<SPAN STYLE="""" >HB</SPAN>","1","null","unbestimmt","<SPAN STYLE="""" >positive Ladung</SPAN>","<SPAN STYLE="""" >negative Ladung</SPAN>","<SPAN STYLE="""" >neutral</SPAN>","<SPAN STYLE="""" >Ionen</SPAN>","<SPAN STYLE="""" >Neutronen</SPAN>","<SPAN STYLE="""" >Protonen</SPAN>","<SPAN STYLE="""" >Molek&uuml;le</SPAN>","<SPAN STYLE="""" >Elektronen</SPAN>","ac","ae","bd"
"5.1.1","<SPAN STYLE="""" >positive Ladung</SPAN>","ZO","1634","","<SPAN STYLE="""" >HB</SPAN>","1","null","NIL","<SPAN STYLE="""" >positive Ladung</SPAN>","<SPAN STYLE="""" >negative Ladung</SPAN>","<SPAN STYLE="""" >neutral</SPAN>","<SPAN STYLE="""" >Ionen</SPAN>","<SPAN STYLE="""" >Neutronen</SPAN>","<SPAN STYLE="""" >Protonen</SPAN>","<SPAN STYLE="""" >Molek&uuml;le</SPAN>","<SPAN STYLE="""" >Elektronen</SPAN>","ac","ae","bd"
"5.1.1","<SPAN STYLE="""" >positive Ladung</SPAN>","ZO","1634","","<SPAN STYLE="""" >HB</SPAN>","1","Hilfe&Demo","1","<SPAN STYLE="""" >positive Ladung</SPAN>","<SPAN STYLE="""" >negative Ladung</SPAN>","<SPAN STYLE="""" >neutral</SPAN>","<SPAN STYLE="""" >Ionen</SPAN>","<SPAN STYLE="""" >Neutronen</SPAN>","<SPAN STYLE="""" >Protonen</SPAN>","<SPAN STYLE="""" >Molek&uuml;le</SPAN>","<SPAN STYLE="""" >Elektronen</SPAN>","ac","ae","bd"
"5.1.1","<SPAN STYLE="""" >zwei positive Ladungen</SPAN>","ZO","1648","","<SPAN STYLE="""" >HB</SPAN>","1","Elektroinstallateur","NIL","<SPAN STYLE="""" >zwei positive Ladungen</SPAN>","<SPAN STYLE="""" >eine positive und eine negative Ladung</SPAN>","<SPAN STYLE="""" >zwei negative Ladungen</SPAN>","<SPAN STYLE="""" >stossen sich ab</SPAN>","<SPAN STYLE="""" >ziehen sich an</SPAN>","<SPAN STYLE="""" >verhalten sich neutral</SPAN>","<SPAN STYLE="""" >verschmelzen zu einem Neutron</SPAN>","<SPAN STYLE="""" >l&ouml;schen sich aus</SPAN>","a","b","a"
"5.1.1","<SPAN STYLE="""" >zwei positive Ladungen</SPAN>","ZO","1648","","<SPAN STYLE="""" >HB</SPAN>","1","Elektroplaner","NIL","<SPAN STYLE="""" >zwei positive Ladungen</SPAN>","<SPAN STYLE="""" >eine positive und eine negative Ladung</SPAN>","<SPAN STYLE="""" >zwei negative Ladungen</SPAN>","<SPAN STYLE="""" >stossen sich ab</SPAN>","<SPAN STYLE="""" >ziehen sich an</SPAN>","<SPAN STYLE="""" >verhalten sich neutral</SPAN>","<SPAN STYLE="""" >verschmelzen zu einem Neutron</SPAN>","<SPAN STYLE="""" >l&ouml;schen sich aus</SPAN>","a","b","a"
"5.1.1","<SPAN STYLE="""" >zwei positive Ladungen</SPAN>","ZO","1648","","<SPAN STYLE="""" >HB</SPAN>","1","Montage-Elektriker","NIL","<SPAN STYLE="""" >zwei positive Ladungen</SPAN>","<SPAN STYLE="""" >eine positive und eine negative Ladung</SPAN>","<SPAN STYLE="""" >zwei negative Ladungen</SPAN>","<SPAN STYLE="""" >stossen sich ab</SPAN>","<SPAN STYLE="""" >ziehen sich an</SPAN>","<SPAN STYLE="""" >verhalten sich neutral</SPAN>","<SPAN STYLE="""" >verschmelzen zu einem Neutron</SPAN>","<SPAN STYLE="""" >l&ouml;schen sich aus</SPAN>","a","b","a"
"5.1.1","<SPAN STYLE="""" >zwei positive Ladungen</SPAN>","ZO","1648","","<SPAN STYLE="""" >HB</SPAN>","1","Netzelektriker","NIL","<SPAN STYLE="""" >zwei positive Ladungen</SPAN>","<SPAN STYLE="""" >eine positive und eine negative Ladung</SPAN>","<SPAN STYLE="""" >zwei negative Ladungen</SPAN>","<SPAN STYLE="""" >stossen sich ab</SPAN>","<SPAN STYLE="""" >ziehen sich an</SPAN>","<SPAN STYLE="""" >verhalten sich neutral</SPAN>","<SPAN STYLE="""" >verschmelzen zu einem Neutron</SPAN>","<SPAN STYLE="""" >l&ouml;schen sich aus</SPAN>","a","b","a"
"5.1.1","<SPAN STYLE="""" >zwei positive Ladungen</SPAN>","ZO","1648","","<SPAN STYLE="""" >HB</SPAN>","1","null","NIL","<SPAN STYLE="""" >zwei positive Ladungen</SPAN>","<SPAN STYLE="""" >eine positive und eine negative Ladung</SPAN>","<SPAN STYLE="""" >zwei negative Ladungen</SPAN>","<SPAN STYLE="""" >stossen sich ab</SPAN>","<SPAN STYLE="""" >ziehen sich an</SPAN>","<SPAN STYLE="""" >verhalten sich neutral</SPAN>","<SPAN STYLE="""" >verschmelzen zu einem Neutron</SPAN>","<SPAN STYLE="""" >l&ouml;schen sich aus</SPAN>","a","b","a"
"5.1.1","<SPAN STYLE="""" >zwei positive Ladungen</SPAN>","ZO","1648","","<SPAN STYLE="""" >HB</SPAN>","1","null","unbestimmt","<SPAN STYLE="""" >zwei positive Ladungen</SPAN>","<SPAN STYLE="""" >eine positive und eine negative Ladung</SPAN>","<SPAN STYLE="""" >zwei negative Ladungen</SPAN>","<SPAN STYLE="""" >stossen sich ab</SPAN>","<SPAN STYLE="""" >ziehen sich an</SPAN>","<SPAN STYLE="""" >verhalten sich neutral</SPAN>","<SPAN STYLE="""" >verschmelzen zu einem Neutron</SPAN>","<SPAN STYLE="""" >l&ouml;schen sich aus</SPAN>","a","b","a"
"5.1.1","<SPAN STYLE="""" >zwei positive Ladungen</SPAN>","ZO","1648","","<SPAN STYLE="""" >HB</SPAN>","1","null","NIL","<SPAN STYLE="""" >zwei positive Ladungen</SPAN>","<SPAN STYLE="""" >eine positive und eine negative Ladung</SPAN>","<SPAN STYLE="""" >zwei negative Ladungen</SPAN>","<SPAN STYLE="""" >stossen sich ab</SPAN>","<SPAN STYLE="""" >ziehen sich an</SPAN>","<SPAN STYLE="""" >verhalten sich neutral</SPAN>","<SPAN STYLE="""" >verschmelzen zu einem Neutron</SPAN>","<SPAN STYLE="""" >l&ouml;schen sich aus</SPAN>","a","b","a"
"5.1.1","<SPAN STYLE="""" >zwei positive Ladungen</SPAN>","ZO","1648","","<SPAN STYLE="""" >HB</SPAN>","1","Hilfe&Demo","1","<SPAN STYLE="""" >zwei positive Ladungen</SPAN>","<SPAN STYLE="""" >eine positive und eine negative Ladung</SPAN>","<SPAN STYLE="""" >zwei negative Ladungen</SPAN>","<SPAN STYLE="""" >stossen sich ab</SPAN>","<SPAN STYLE="""" >ziehen sich an</SPAN>","<SPAN STYLE="""" >verhalten sich neutral</SPAN>","<SPAN STYLE="""" >verschmelzen zu einem Neutron</SPAN>","<SPAN STYLE="""" >l&ouml;schen sich aus</SPAN>","a","b","a"
"5.1.2","<SPAN STYLE="""" >Bei welchen Bildern muss an Stelle von X der Wert + 9 V stehen.</SPAN>","ZO","129","","<SPAN STYLE="""" >FK</SPAN>","1","Elektroinstallateur","NIL","<SPAN STYLE="""" >Bei welchen Bildern muss an Stelle von X der Wert + 9 V stehen.</SPAN>","<SPAN STYLE="""" >Bei welchen Bildern muss an Stelle von X der Wert - 9 V stehen.</SPAN>","VOID","<SPAN STYLE="""" >a</SPAN>","<SPAN STYLE="""" >b</SPAN>","<SPAN STYLE="""" >c</SPAN>","<SPAN STYLE="""" >d</SPAN>","VOID","bc","da","VOID"
"5.1.2","<SPAN STYLE="""" >Bei welchen Bildern muss an Stelle von X der Wert + 9 V stehen.</SPAN>","ZO","129","","<SPAN STYLE="""" >FK</SPAN>","1","Elektroplaner","NIL","<SPAN STYLE="""" >Bei welchen Bildern muss an Stelle von X der Wert + 9 V stehen.</SPAN>","<SPAN STYLE="""" >Bei welchen Bildern muss an Stelle von X der Wert - 9 V stehen.</SPAN>","VOID","<SPAN STYLE="""" >a</SPAN>","<SPAN STYLE="""" >b</SPAN>","<SPAN STYLE="""" >c</SPAN>","<SPAN STYLE="""" >d</SPAN>","VOID","bc","da","VOID"
"5.1.2","<SPAN STYLE="""" >Bei welchen Bildern muss an Stelle von X der Wert + 9 V stehen.</SPAN>","ZO","129","","<SPAN STYLE="""" >FK</SPAN>","1","Montage-Elektriker","NIL","<SPAN STYLE="""" >Bei welchen Bildern muss an Stelle von X der Wert + 9 V stehen.</SPAN>","<SPAN STYLE="""" >Bei welchen Bildern muss an Stelle von X der Wert - 9 V stehen.</SPAN>","VOID","<SPAN STYLE="""" >a</SPAN>","<SPAN STYLE="""" >b</SPAN>","<SPAN STYLE="""" >c</SPAN>","<SPAN STYLE="""" >d</SPAN>","VOID","bc","da","VOID"
"5.1.2","<SPAN STYLE="""" >Bei welchen Bildern muss an Stelle von X der Wert + 9 V stehen.</SPAN>","ZO","129","","<SPAN STYLE="""" >FK</SPAN>","1","Netzelektriker","NIL","<SPAN STYLE="""" >Bei welchen Bildern muss an Stelle von X der Wert + 9 V stehen.</SPAN>","<SPAN STYLE="""" >Bei welchen Bildern muss an Stelle von X der Wert - 9 V stehen.</SPAN>","VOID","<SPAN STYLE="""" >a</SPAN>","<SPAN STYLE="""" >b</SPAN>","<SPAN STYLE="""" >c</SPAN>","<SPAN STYLE="""" >d</SPAN>","VOID","bc","da","VOID"
"5.1.2","<SPAN STYLE="""" >Bei welchen Bildern muss an Stelle von X der Wert + 9 V stehen.</SPAN>","ZO","129","","<SPAN STYLE="""" >FK</SPAN>","1","null","NIL","<SPAN STYLE="""" >Bei welchen Bildern muss an Stelle von X der Wert + 9 V stehen.</SPAN>","<SPAN STYLE="""" >Bei welchen Bildern muss an Stelle von X der Wert - 9 V stehen.</SPAN>","VOID","<SPAN STYLE="""" >a</SPAN>","<SPAN STYLE="""" >b</SPAN>","<SPAN STYLE="""" >c</SPAN>","<SPAN STYLE="""" >d</SPAN>","VOID","bc","da","VOID"
"5.1.2","<SPAN STYLE="""" >Bei welchen Bildern muss an Stelle von X der Wert + 9 V stehen.</SPAN>","ZO","129","","<SPAN STYLE="""" >FK</SPAN>","1","null","unbestimmt","<SPAN STYLE="""" >Bei welchen Bildern muss an Stelle von X der Wert + 9 V stehen.</SPAN>","<SPAN STYLE="""" >Bei welchen Bildern muss an Stelle von X der Wert - 9 V stehen.</SPAN>","VOID","<SPAN STYLE="""" >a</SPAN>","<SPAN STYLE="""" >b</SPAN>","<SPAN STYLE="""" >c</SPAN>","<SPAN STYLE="""" >d</SPAN>","VOID","bc","da","VOID"
"5.1.2","<SPAN STYLE="""" >Bei welchen Bildern muss an Stelle von X der Wert + 9 V stehen.</SPAN>","ZO","129","","<SPAN STYLE="""" >FK</SPAN>","1","null","NIL","<SPAN STYLE="""" >Bei welchen Bildern muss an Stelle von X der Wert + 9 V stehen.</SPAN>","<SPAN STYLE="""" >Bei welchen Bildern muss an Stelle von X der Wert - 9 V stehen.</SPAN>","VOID","<SPAN STYLE="""" >a</SPAN>","<SPAN STYLE="""" >b</SPAN>","<SPAN STYLE="""" >c</SPAN>","<SPAN STYLE="""" >d</SPAN>","VOID","bc","da","VOID"
"5.1.2","<SPAN STYLE="""" >Bei welchen Bildern muss an Stelle von X der Wert + 9 V stehen.</SPAN>","ZO","129","","<SPAN STYLE="""" >FK</SPAN>","1","Hilfe&Demo","1","<SPAN STYLE="""" >Bei welchen Bildern muss an Stelle von X der Wert + 9 V stehen.</SPAN>","<SPAN STYLE="""" >Bei welchen Bildern muss an Stelle von X der Wert - 9 V stehen.</SPAN>","VOID","<SPAN STYLE="""" >a</SPAN>","<SPAN STYLE="""" >b</SPAN>","<SPAN STYLE="""" >c</SPAN>","<SPAN STYLE="""" >d</SPAN>","VOID","bc","da","VOID"
"5.1.2","<SPAN STYLE="""" >Potenzial B</SPAN>","ZO","130","131","<SPAN STYLE="""" >FK</SPAN>","1","Elektroinstallateur","NIL","<SPAN STYLE="""" >Potenzial B</SPAN>","<SPAN STYLE="""" >Potenzial C</SPAN>","VOID","<SPAN STYLE="""" >0 V</SPAN>","<SPAN STYLE="""" >9 V</SPAN>","<SPAN STYLE="""" >- 9 V</SPAN>","<SPAN STYLE="""" >18 V</SPAN>","<SPAN STYLE="""" >- 18 V</SPAN>","d","a","VOID"
"5.1.2","<SPAN STYLE="""" >Potenzial B</SPAN>","ZO","130","131","<SPAN STYLE="""" >FK</SPAN>","1","Elektroplaner","NIL","<SPAN STYLE="""" >Potenzial B</SPAN>","<SPAN STYLE="""" >Potenzial C</SPAN>","VOID","<SPAN STYLE="""" >0 V</SPAN>","<SPAN STYLE="""" >9 V</SPAN>","<SPAN STYLE="""" >- 9 V</SPAN>","<SPAN STYLE="""" >18 V</SPAN>","<SPAN STYLE="""" >- 18 V</SPAN>","d","a","VOID"
"5.1.2","<SPAN STYLE="""" >Potenzial B</SPAN>","ZO","130","131","<SPAN STYLE="""" >FK</SPAN>","1","Montage-Elektriker","NIL","<SPAN STYLE="""" >Potenzial B</SPAN>","<SPAN STYLE="""" >Potenzial C</SPAN>","VOID","<SPAN STYLE="""" >0 V</SPAN>","<SPAN STYLE="""" >9 V</SPAN>","<SPAN STYLE="""" >- 9 V</SPAN>","<SPAN STYLE="""" >18 V</SPAN>","<SPAN STYLE="""" >- 18 V</SPAN>","d","a","VOID"
"5.1.2","<SPAN STYLE="""" >Potenzial B</SPAN>","ZO","130","131","<SPAN STYLE="""" >FK</SPAN>","1","Netzelektriker","NIL","<SPAN STYLE="""" >Potenzial B</SPAN>","<SPAN STYLE="""" >Potenzial C</SPAN>","VOID","<SPAN STYLE="""" >0 V</SPAN>","<SPAN STYLE="""" >9 V</SPAN>","<SPAN STYLE="""" >- 9 V</SPAN>","<SPAN STYLE="""" >18 V</SPAN>","<SPAN STYLE="""" >- 18 V</SPAN>","d","a","VOID"
"5.1.2","<SPAN STYLE="""" >Potenzial B</SPAN>","ZO","130","131","<SPAN STYLE="""" >FK</SPAN>","1","null","NIL","<SPAN STYLE="""" >Potenzial B</SPAN>","<SPAN STYLE="""" >Potenzial C</SPAN>","VOID","<SPAN STYLE="""" >0 V</SPAN>","<SPAN STYLE="""" >9 V</SPAN>","<SPAN STYLE="""" >- 9 V</SPAN>","<SPAN STYLE="""" >18 V</SPAN>","<SPAN STYLE="""" >- 18 V</SPAN>","d","a","VOID"
"5.1.2","<SPAN STYLE="""" >Potenzial B</SPAN>","ZO","130","131","<SPAN STYLE="""" >FK</SPAN>","1","null","unbestimmt","<SPAN STYLE="""" >Potenzial B</SPAN>","<SPAN STYLE="""" >Potenzial C</SPAN>","VOID","<SPAN STYLE="""" >0 V</SPAN>","<SPAN STYLE="""" >9 V</SPAN>","<SPAN STYLE="""" >- 9 V</SPAN>","<SPAN STYLE="""" >18 V</SPAN>","<SPAN STYLE="""" >- 18 V</SPAN>","d","a","VOID"
"5.1.2","<SPAN STYLE="""" >Potenzial B</SPAN>","ZO","130","131","<SPAN STYLE="""" >FK</SPAN>","1","null","NIL","<SPAN STYLE="""" >Potenzial B</SPAN>","<SPAN STYLE="""" >Potenzial C</SPAN>","VOID","<SPAN STYLE="""" >0 V</SPAN>","<SPAN STYLE="""" >9 V</SPAN>","<SPAN STYLE="""" >- 9 V</SPAN>","<SPAN STYLE="""" >18 V</SPAN>","<SPAN STYLE="""" >- 18 V</SPAN>","d","a","VOID"
"5.1.2","<SPAN STYLE="""" >Potenzial B</SPAN>","ZO","130","131","<SPAN STYLE="""" >FK</SPAN>","1","Hilfe&Demo","1","<SPAN STYLE="""" >Potenzial B</SPAN>","<SPAN STYLE="""" >Potenzial C</SPAN>","VOID","<SPAN STYLE="""" >0 V</SPAN>","<SPAN STYLE="""" >9 V</SPAN>","<SPAN STYLE="""" >- 9 V</SPAN>","<SPAN STYLE="""" >18 V</SPAN>","<SPAN STYLE="""" >- 18 V</SPAN>","d","a","VOID"
"5.1.2","<SPAN STYLE="""" >Potenzial B</SPAN>","ZO","132","133","<SPAN STYLE="""" >FK</SPAN>","1","Elektroinstallateur","NIL","<SPAN STYLE="""" >Potenzial B</SPAN>","<SPAN STYLE="""" >Potenzial C</SPAN>","VOID","<SPAN STYLE="""" >0 V</SPAN>","<SPAN STYLE="""" >9 V</SPAN>","<SPAN STYLE="""" >- 9V</SPAN>","<SPAN STYLE="""" >18 V</SPAN>","<SPAN STYLE="""" >- 18 V</SPAN>","a","b","VOID"
"5.1.2","<SPAN STYLE="""" >Potenzial B</SPAN>","ZO","132","133","<SPAN STYLE="""" >FK</SPAN>","1","Elektroplaner","NIL","<SPAN STYLE="""" >Potenzial B</SPAN>","<SPAN STYLE="""" >Potenzial C</SPAN>","VOID","<SPAN STYLE="""" >0 V</SPAN>","<SPAN STYLE="""" >9 V</SPAN>","<SPAN STYLE="""" >- 9V</SPAN>","<SPAN STYLE="""" >18 V</SPAN>","<SPAN STYLE="""" >- 18 V</SPAN>","a","b","VOID"
"5.1.2","<SPAN STYLE="""" >Potenzial B</SPAN>","ZO","132","133","<SPAN STYLE="""" >FK</SPAN>","1","Montage-Elektriker","NIL","<SPAN STYLE="""" >Potenzial B</SPAN>","<SPAN STYLE="""" >Potenzial C</SPAN>","VOID","<SPAN STYLE="""" >0 V</SPAN>","<SPAN STYLE="""" >9 V</SPAN>","<SPAN STYLE="""" >- 9V</SPAN>","<SPAN STYLE="""" >18 V</SPAN>","<SPAN STYLE="""" >- 18 V</SPAN>","a","b","VOID"
"5.1.2","<SPAN STYLE="""" >Potenzial B</SPAN>","ZO","132","133","<SPAN STYLE="""" >FK</SPAN>","1","Netzelektriker","NIL","<SPAN STYLE="""" >Potenzial B</SPAN>","<SPAN STYLE="""" >Potenzial C</SPAN>","VOID","<SPAN STYLE="""" >0 V</SPAN>","<SPAN STYLE="""" >9 V</SPAN>","<SPAN STYLE="""" >- 9V</SPAN>","<SPAN STYLE="""" >18 V</SPAN>","<SPAN STYLE="""" >- 18 V</SPAN>","a","b","VOID"
